,Country,Year,Group,Variable,Value,eta2_all,eta2_loo,delta_eta2,delta_eta2_pos,share_pos_pct
296,China,2023,Group C: Emerging / High-growth,Exports (% of GDP),19.10247172,0.0006617500640739349,0.0014102981609704092,-0.0007485480968964744,0.0,0.0
297,China,2023,Group C: Emerging / High-growth,GDP Growth (%),5.414843301,0.0005158133182952325,0.0004832033847193007,3.260993357593174e-05,3.260993357593174e-05,0.5255991063458095
298,China,2023,Group C: Emerging / High-growth,GDP per Capita,86588.78553,0.8681725948405205,0.8674532258862595,0.000719368954260946,0.000719368954260946,11.594616671391659
299,China,2023,Group C: Emerging / High-growth,Imports (% of GDP),17.00272065,0.05697747467044031,0.07945010192971602,-0.022472627259275714,0.0,0.0
300,China,2023,Group C: Emerging / High-growth,Inflation (%),0.234836829,0.09115257709990993,0.08570022017700885,0.00545235692290108,0.00545235692290108,87.87978422226253
301,China,2023,Group C: Emerging / High-growth,Population Growth (%),-0.103794532,0.053597451207192746,0.05887514047959369,-0.005277689272400944,0.0,0.0
302,China,2024,Group B: Transitional / Mixed,Exports (% of GDP),20.02291664,0.0063045081897715165,0.012044646017321857,-0.00574013782755034,0.0,0.0
303,China,2024,Group B: Transitional / Mixed,GDP Growth (%),4.977356592,0.033413466620142565,0.03803343648477533,-0.004619969864632763,0.0,0.0
304,China,2024,Group B: Transitional / Mixed,GDP per Capita,91010.54995,0.5066241484038584,0.5037877634069411,0.002836384996917296,0.002836384996917296,23.129839361151728
305,China,2024,Group B: Transitional / Mixed,Imports (% of GDP),17.1755035,0.03622949541957388,0.06036625968289495,-0.024136764263321064,0.0,0.0
306,China,2024,Group B: Transitional / Mixed,Inflation (%),0.218128938,0.3451944096894889,0.3369591939889667,0.008235215700522214,0.008235215700522214,67.15562819029657
307,China,2024,Group B: Transitional / Mixed,Population Growth (%),-0.123063407,0.010593367028464496,0.009402085339953613,0.0011912816885108826,0.0011912816885108826,9.714532448551706
308,Fiji,2015,Group C: Emerging / High-growth,Exports (% of GDP),48.83675558,0.023709997275814215,0.023822594101054726,-0.00011259682524051087,0.0,0.0
309,Fiji,2015,Group C: Emerging / High-growth,GDP Growth (%),4.50120041,0.014316810857366415,0.015127737528070144,-0.0008109266707037287,0.0,0.0
310,Fiji,2015,Group C: Emerging / High-growth,GDP per Capita,10428.792,0.9719605441571625,0.9718311473796994,0.00012939677746304223,0.00012939677746304223,10.562745512643032
311,Fiji,2015,Group C: Emerging / High-growth,Imports (% of GDP),52.35229338,0.07552340407723149,0.07908651650298092,-0.003563112425749429,0.0,0.0
312,Fiji,2015,Group C: Emerging / High-growth,Inflation (%),1.374885426,0.018597764686277284,0.01811669509894644,0.0004810695873308443,0.0004810695873308443,39.27003225640023
313,Fiji,2015,Group C: Emerging / High-growth,Population Growth (%),0.108160343,0.0012695021236637867,0.0006549387146345575,0.0006145634090292293,0.0006145634090292293,50.167222230956746
314,Fiji,2016,Group C: Emerging / High-growth,Exports (% of GDP),46.64724139,0.019730678329864648,0.02006087325760643,-0.00033019492774178164,0.0,0.0
315,Fiji,2016,Group C: Emerging / High-growth,GDP Growth (%),2.445651797,0.008235972094941237,0.008108596073169716,0.00012737602177152058,0.00012737602177152058,4.193625784027848
316,Fiji,2016,Group C: Emerging / High-growth,GDP per Capita,10677.00938,0.8996454259405996,0.8991605613108198,0.00048486462977981315,0.00048486462977981315,15.963293443526014
317,Fiji,2016,Group C: Emerging / High-growth,Imports (% of GDP),50.5272492,0.07914966177530307,0.08263848996268951,-0.003488828187386439,0.0,0.0
318,Fiji,2016,Group C: Emerging / High-growth,Inflation (%),3.863225382,0.023946634811297576,0.026774534844626295,-0.0028279000333287195,0.0,0.0
319,Fiji,2016,Group C: Emerging / High-growth,Population Growth (%),0.063991505,0.005514645924592136,0.0047301922798535815,0.0007844536447385543,0.0007844536447385543,25.826721428394876
320,Fiji,2016,Group C: Emerging / High-growth,Unemployment (%),4.32,0.0136832882110926,0.012042610354229141,0.0016406778568634588,0.0016406778568634588,54.01635934405126
321,Fiji,2017,Group C: Emerging / High-growth,Exports (% of GDP),46.01556504,0.001576676453478359,0.0016686630360285963,-9.198658255023728e-05,0.0,0.0
322,Fiji,2017,Group C: Emerging / High-growth,GDP Growth (%),5.35336456,0.025400668380323285,0.027179553327577207,-0.0017788849472539225,0.0,0.0
323,Fiji,2017,Group C: Emerging / High-growth,GDP per Capita,11253.57161,0.8962842189684221,0.8958043710949318,0.0004798478734903133,0.0004798478734903133,20.13131939422368
324,Fiji,2017,Group C: Emerging / High-growth,Imports (% of GDP),51.00609749,0.037317152360226695,0.039178120256534714,-0.001860967896308019,0.0,0.0
325,Fiji,2017,Group C: Emerging / High-growth,Inflation (%),3.347578348,0.011260738362668962,0.01463384969958038,-0.0033731113369114187,0.0,0.0
326,Fiji,2017,Group C: Emerging / High-growth,Population Growth (%),-0.044289077,0.014914968122288215,0.013011227200162892,0.0019037409221253233,0.0019037409221253233,79.86868060577632
327,Fiji,2018,Group C: Emerging / High-growth,Exports (% of GDP),47.74879577,0.002716710698111923,0.0028210618761614382,-0.00010435117804951516,0.0,0.0
328,Fiji,2018,Group C: Emerging / High-growth,GDP Growth (%),3.812351222,0.10167342287248653,0.10500561763028897,-0.0033321947578024425,0.0,0.0
329,Fiji,2018,Group C: Emerging / High-growth,GDP per Capita,11702.70983,0.8929467115873737,0.8924519547797953,0.0004947568075783781,0.0004947568075783781,20.889174818681507
330,Fiji,2018,Group C: Emerging / High-growth,Imports (% of GDP),55.48662417,0.03495181115513965,0.03632797248376446,-0.0013761613286248087,0.0,0.0
331,Fiji,2018,Group C: Emerging / High-growth,Inflation (%),4.081476376,0.018527157213349008,0.021170917436665118,-0.0026437602233161106,0.0,0.0
332,Fiji,2018,Group C: Emerging / High-growth,Population Growth (%),-0.172010115,0.01145318704161831,0.009579459637288472,0.0018737274043298374,0.0018737274043298374,79.11082518131849
333,Fiji,2019,Group C: Emerging / High-growth,Exports (% of GDP),48.46090215,0.0024674328860656634,0.0025206308018781037,-5.319791581244026e-05,0.0,0.0
334,Fiji,2019,Group C: Emerging / High-growth,GDP Growth (%),-0.581946709,0.010004804290932699,0.0081783828720074,0.001826421418925299,0.001826421418925299,36.46102594563523
335,Fiji,2019,Group C: Emerging / High-growth,GDP per Capita,11663.61336,0.8881072596650513,0.8875931602837389,0.0005140993813124162,0.0005140993813124162,10.26301525290735
336,Fiji,2019,Group C: Emerging / High-growth,Imports (% of GDP),58.95056199,0.04579636376164851,0.046730734531742944,-0.0009343707700944365,0.0,0.0
337,Fiji,2019,Group C: Emerging / High-growth,Inflation (%),1.773101825,0.04789608975617628,0.047293709263734676,0.000602380492441601,0.000602380492441601,12.025379540818912
338,Fiji,2019,Group C: Emerging / High-growth,Population Growth (%),-0.249006858,0.013268131435377476,0.01120178964847762,0.0020663417868998554,0.0020663417868998554,41.25057926063851
339,Fiji,2020,Group C: Emerging / High-growth,Exports (% of GDP),27.82957341,0.000851509296229778,0.000557616390959815,0.00029389290526996297,0.00029389290526996297,1.7906828766903784
340,Fiji,2020,Group C: Emerging / High-growth,GDP Growth (%),-17.03866737,0.01929389973529624,0.01669966368807981,0.002594236047216432,0.002594236047216432,15.806622019596542
341,Fiji,2020,Group C: Emerging / High-growth,GDP per Capita,9675.612238,0.8831964678300396,0.8826702625937279,0.0005262052363116387,0.0005262052363116387,3.2061566965099826
342,Fiji,2020,Group C: Emerging / High-growth,Imports (% of GDP),44.51400237,0.046154448626462626,0.049703529848406786,-0.00354908122194416,0.0,0.0
343,Fiji,2020,Group C: Emerging / High-growth,Inflation (%),-2.595243259,0.1057658564329279,0.09422989089481018,0.011535965538117712,0.011535965538117712,70.28837915029774
344,Fiji,2020,Group C: Emerging / High-growth,Population Growth (%),0.006995063,0.01264092795125929,0.011178890848710894,0.0014620371025483962,0.0014620371025483962,8.908159256905352
345,Fiji,2021,Group C: Emerging / High-growth,Exports (% of GDP),27.25332827,0.0036469870675865925,0.0029772534263340224,0.0006697336412525702,0.0006697336412525702,10.643845193971112
346,Fiji,2021,Group C: Emerging / High-growth,GDP Growth (%),-4.881036196,0.0038247067747049323,0.002398549676843017,0.0014261570978619156,0.0014261570978619156,22.665421649620747
347,Fiji,2021,Group C: Emerging / High-growth,GDP per Capita,9185.793014,0.8843165841218015,0.8837975425367413,0.0005190415850602204,0.0005190415850602204,8.248948448045685
348,Fiji,2021,Group C: Emerging / High-growth,Imports (% of GDP),54.47188033,0.024024086183693644,0.025319197421970804,-0.00129511123827716,0.0,0.0
349,Fiji,2021,Group C: Emerging / High-growth,Inflation (%),0.155855722,0.029602386106217824,0.026120723818966896,0.003481662287250928,0.003481662287250928,55.332854915094266
350,Fiji,2021,Group C: Emerging / High-growth,Population Growth (%),0.190863716,0.028734158760180994,0.028538538208312814,0.00019562055186818014,0.00019562055186818014,3.108929793268191
351,Fiji,2022,Group C: Emerging / High-growth,Exports (% of GDP),48.17411538,0.0034636090079399866,0.003459374192151887,4.234815788099495e-06,4.234815788099495e-06,0.09935245859388855
352,Fiji,2022,Group C: Emerging / High-growth,GDP Growth (%),19.79272669,0.02004309266253123,0.03690191532481905,-0.016858822662287817,0.0,0.0
353,Fiji,2022,Group C: Emerging / High-growth,GDP per Capita,10971.46588,0.8731650746236863,0.8726047545706582,0.000560320053028085,0.000560320053028085,13.145595382032313
354,Fiji,2022,Group C: Emerging / High-growth,Imports (% of GDP),69.33244426,0.030152595350304155,0.030058784189488062,9.381116081609228e-05,9.381116081609228e-05,2.2008913579705514
355,Fiji,2022,Group C: Emerging / High-growth,Inflation (%),4.320118562,0.0718105433603243,0.06844161797542322,0.003368925384901078,0.003368925384901078,79.0379172453913
356,Fiji,2022,Group C: Emerging / High-growth,Population Growth (%),0.295294728,0.01024603125434257,0.010010905967735536,0.0002351252866070342,0.0002351252866070342,5.516243556011959
357,Fiji,2023,Group C: Emerging / High-growth,Exports (% of GDP),56.96641605,0.0006617500640739349,0.0006309847466735196,3.0765317400415285e-05,3.0765317400415285e-05,0.5544256815569139
358,Fiji,2023,Group C: Emerging / High-growth,GDP Growth (%),7.524291351,0.0005158133182952325,0.00040116104999939306,0.0001146522682958394,0.0001146522682958394,2.0661630486252958
359,Fiji,2023,Group C: Emerging / High-growth,GDP per Capita,11736.70041,0.8681725948405205,0.8674384897585847,0.0007341050819357209,0.0007341050819357209,13.229400662094653
360,Fiji,2023,Group C: Emerging / High-growth,Imports (% of GDP),69.2127623,0.05697747467044031,0.05646434683258936,0.0005131278378509505,0.0005131278378509505,9.247141757832104
361,Fiji,2023,Group C: Emerging / High-growth,Inflation (%),2.344082966,0.09115257709990993,0.08699618497915276,0.004156392120757163,0.004156392120757163,74.90286884989104
362,Fiji,2023,Group C: Emerging / High-growth,Population Growth (%),0.5123774,0.053597451207192746,0.0550604536547866,-0.0014630024475938558,0.0,0.0
363,Fiji,2024,Group B: Transitional / Mixed,GDP Growth (%),3.828998887,0.033413466620142565,0.034343934884114774,-0.0009304682639722089,0.0,0.0
364,Fiji,2024,Group B: Transitional / Mixed,GDP per Capita,12125.2326,0.5066241484038584,0.5037095874258015,0.002914560978056868,0.002914560978056868,100.0
365,Fiji,2024,Group B: Transitional / Mixed,Inflation (%),4.511382565,0.3451944096894889,0.35742607042505703,-0.01223166073556814,0.0,0.0
366,Fiji,2024,Group B: Transitional / Mixed,Population Growth (%),0.500721797,0.010593367028464496,0.01059738297995438,-4.01595148988472e-06,0.0,0.0
367,French Polynesia,2015,Group C: Emerging / High-growth,Exports (% of GDP),19.61376507,0.023709997275814215,0.027957058265141114,-0.004247060989326899,0.0,0.0
368,French Polynesia,2015,Group C: Emerging / High-growth,GDP Growth (%),1.803340815,0.014316810857366415,0.013290133702775379,0.0010266771545910363,0.0010266771545910363,76.01678727297848
369,French Polynesia,2015,Group C: Emerging / High-growth,GDP per Capita,1865867.001,0.9719605441571625,0.97273688463553,-0.0007763404783674988,0.0,0.0
370,French Polynesia,2015,Group C: Emerging / High-growth,Imports (% of GDP),36.01670356,0.07552340407723149,0.0845665266428701,-0.009043122565638606,0.0,0.0
371,French Polynesia,2015,Group C: Emerging / High-growth,Population Growth (%),0.533692559,0.0012695021236637867,0.0009455866112637689,0.00032391551240001785,0.00032391551240001785,23.983212727021517
372,French Polynesia,2016,Group C: Emerging / High-growth,Exports (% of GDP),19.61263411,0.019730678329864648,0.024041546692322252,-0.0043108683624576045,0.0,0.0
373,French Polynesia,2016,Group C: Emerging / High-growth,GDP Growth (%),2.302198237,0.008235972094941237,0.008104202785324978,0.0001317693096162583,0.0001317693096162583,24.820036963841154
374,French Polynesia,2016,Group C: Emerging / High-growth,GDP per Capita,1899852.424,0.8996454259405996,0.9002718162968518,-0.0006263903562522266,0.0,0.0
375,French Polynesia,2016,Group C: Emerging / High-growth,Imports (% of GDP),34.00386083,0.07914966177530307,0.08885388549192998,-0.009704223716626909,0.0,0.0
376,French Polynesia,2016,Group C: Emerging / High-growth,Population Growth (%),0.471058813,0.005514645924592136,0.005115516308440374,0.00039912961615176223,0.00039912961615176223,75.17996303615885
377,French Polynesia,2017,Group C: Emerging / High-growth,Exports (% of GDP),19.55695843,0.001576676453478359,0.002584534590827698,-0.0010078581373493389,0.0,0.0
378,French Polynesia,2017,Group C: Emerging / High-growth,GDP Growth (%),4.292633631,0.025400668380323285,0.026069337471487354,-0.0006686690911640696,0.0,0.0
379,French Polynesia,2017,Group C: Emerging / High-growth,GDP per Capita,1974975.633,0.8962842189684221,0.8968049922654402,-0.0005207732970180512,0.0,0.0
380,French Polynesia,2017,Group C: Emerging / High-growth,Imports (% of GDP),35.02073207,0.037317152360226695,0.04257887198235952,-0.0052617196221328225,0.0,0.0
381,French Polynesia,2017,Group C: Emerging / High-growth,Population Growth (%),0.325069797,0.014914968122288215,0.01394843514879109,0.0009665329734971258,0.0009665329734971258,100.0
382,French Polynesia,2018,Group C: Emerging / High-growth,Exports (% of GDP),20.97916875,0.002716710698111923,0.003992953078306525,-0.0012762423801946018,0.0,0.0
383,French Polynesia,2018,Group C: Emerging / High-growth,GDP Growth (%),1.871231911,0.10167342287248653,0.10104487564828618,0.0006285472242003459,0.0006285472242003459,26.703632774377763
384,French Polynesia,2018,Group C: Emerging / High-growth,GDP per Capita,2013887.747,0.8929467115873737,0.8934181859966075,-0.00047147440923378525,0.0,0.0
385,French Polynesia,2018,Group C: Emerging / High-growth,Imports (% of GDP),44.0354941,0.03495181115513965,0.03865170163950108,-0.0036998904843614303,0.0,0.0
386,French Polynesia,2018,Group C: Emerging / High-growth,Population Growth (%),-0.097159868,0.01145318704161831,0.009727945066008211,0.0017252419756100985,0.0017252419756100985,73.29636722562223
387,French Polynesia,2019,Group C: Emerging / High-growth,Exports (% of GDP),20.59235903,0.0024674328860656634,0.0038168434076642234,-0.00134941052159856,0.0,0.0
388,French Polynesia,2019,Group C: Emerging / High-growth,GDP Growth (%),2.700012067,0.010004804290932699,0.009586079754683266,0.00041872453624943254,0.00041872453624943254,16.415168815688627
389,French Polynesia,2019,Group C: Emerging / High-growth,GDP per Capita,2074051.908,0.8881072596650513,0.8885561175086399,-0.0004488578435886126,0.0,0.0
390,French Polynesia,2019,Group C: Emerging / High-growth,Imports (% of GDP),42.71375337,0.04579636376164851,0.05052007437198039,-0.004723710610331881,0.0,0.0
391,French Polynesia,2019,Group C: Emerging / High-growth,Population Growth (%),-0.279503232,0.013268131435377476,0.01113601692177662,0.0021321145136008555,0.0021321145136008555,83.58483118431137
392,French Polynesia,2020,Group C: Emerging / High-growth,Exports (% of GDP),9.499728476,0.000851509296229778,0.000293648760681782,0.000557860535547996,0.000557860535547996,22.593100478001567
393,French Polynesia,2020,Group C: Emerging / High-growth,GDP Growth (%),-7.050944221,0.01929389973529624,0.018708967081484448,0.0005849326538117927,0.0005849326538117927,23.689509076766264
394,French Polynesia,2020,Group C: Emerging / High-growth,GDP per Capita,1926603.369,0.8831964678300396,0.8835479788471632,-0.0003515110171236069,0.0,0.0
395,French Polynesia,2020,Group C: Emerging / High-growth,Imports (% of GDP),36.33345496,0.046154448626462626,0.05187850437831584,-0.005724055751853217,0.0,0.0
396,French Polynesia,2020,Group C: Emerging / High-growth,Population Growth (%),0.062696713,0.01264092795125929,0.011314557883937362,0.0013263700673219279,0.0013263700673219279,53.71739044523217
397,French Polynesia,2021,Group C: Emerging / High-growth,Exports (% of GDP),13.10280139,0.0036469870675865925,0.002501948356369348,0.0011450387112172445,0.0011450387112172445,88.37776916163577
398,French Polynesia,2021,Group C: Emerging / High-growth,GDP Growth (%),2.094529907,0.0038247067747049323,0.003806828864639956,1.7877910064976413e-05,1.7877910064976413e-05,1.3798745783322253
399,French Polynesia,2021,Group C: Emerging / High-growth,GDP per Capita,1962858.123,0.8843165841218015,0.8846690841909107,-0.0003525000691092517,0.0,0.0
400,French Polynesia,2021,Group C: Emerging / High-growth,Imports (% of GDP),38.53480704,0.024024086183693644,0.02800313415546537,-0.003979047971771725,0.0,0.0
401,French Polynesia,2021,Group C: Emerging / High-growth,Population Growth (%),0.208586465,0.028734158760180994,0.028601456899486077,0.00013270186069491707,0.00013270186069491707,10.242356260032007
402,French Polynesia,2022,Group C: Emerging / High-growth,Exports (% of GDP),21.09682259,0.0034636090079399866,0.0024471036322680044,0.0010165053756719823,0.0010165053756719823,70.47305910054274
403,French Polynesia,2022,Group C: Emerging / High-growth,GDP Growth (%),4.4663797,0.02004309266253123,0.021415339329617773,-0.0013722466670865428,0.0,0.0
404,French Polynesia,2022,Group C: Emerging / High-growth,GDP per Capita,2046241.146,0.8731650746236863,0.8734935657927632,-0.00032849116907684994,0.0,0.0
405,French Polynesia,2022,Group C: Emerging / High-growth,Imports (% of GDP),46.13414366,0.030152595350304155,0.034290097529613844,-0.00413750217930969,0.0,0.0
406,French Polynesia,2022,Group C: Emerging / High-growth,Population Growth (%),0.209222277,0.01024603125434257,0.009820133832909136,0.00042589742143343476,0.00042589742143343476,29.526940899457248
407,French Polynesia,2023,Group C: Emerging / High-growth,Exports (% of GDP),23.07255682,0.0006617500640739349,0.0012831946625291748,-0.00062144459845524,0.0,
408,French Polynesia,2023,Group C: Emerging / High-growth,GDP Growth (%),2.996927078,0.0005158133182952325,0.0005959873428799262,-8.017402458469379e-05,0.0,
409,French Polynesia,2023,Group C: Emerging / High-growth,GDP per Capita,2102017.658,0.8681725948405205,0.868460857285793,-0.00028826244527258016,0.0,
410,French Polynesia,2023,Group C: Emerging / High-growth,Imports (% of GDP),45.6355357,0.05697747467044031,0.06467500304640351,-0.007697528375963207,0.0,
411,French Polynesia,2023,Group C: Emerging / High-growth,Population Growth (%),0.263581728,0.053597451207192746,0.05650680780825207,-0.002909356601059322,0.0,
412,French Polynesia,2024,Group B: Transitional / Mixed,Population Growth (%),0.244792945,0.010593367028464496,0.010081072618896033,0.0005122944095684624,0.0005122944095684624,100.0
413,Guam,2015,Group C: Emerging / High-growth,Exports (% of GDP),18.07208139,0.023709997275814215,0.028213979203428583,-0.004503981927614368,0.0,0.0
414,Guam,2015,Group C: Emerging / High-growth,GDP Growth (%),0.825688073,0.014316810857366415,0.012705825960472502,0.0016109848968939126,0.0016109848968939126,8.791634091363838
415,Guam,2015,Group C: Emerging / High-growth,GDP per Capita,33322.21582,0.9719605441571625,0.9718304326875673,0.00013011146959518438,0.00013011146959518438,0.7100578248597947
416,Guam,2015,Group C: Emerging / High-growth,Imports (% of GDP),53.26780479,0.07552340407723149,0.07881435907090265,-0.003290954993671158,0.0,0.0
417,Guam,2015,Group C: Emerging / High-growth,Population Growth (%),-0.351704858,0.0012695021236637867,0.0004141725440786771,0.0008553295795851097,0.0008553295795851097,4.667793413663233
418,Guam,2015,Group C: Emerging / High-growth,Unemployment (%),6.9,0.03866396973267511,0.02293632895631362,0.015727640776361487,0.015727640776361487,85.83051467011312
419,Guam,2016,Group C: Emerging / High-growth,Exports (% of GDP),18.96288765,0.019730678329864648,0.024152244351748647,-0.004421566021884,0.0,0.0
420,Guam,2016,Group C: Emerging / High-growth,GDP Growth (%),0.181983621,0.008235972094941237,0.008125190467238525,0.00011078162770271176,0.00011078162770271176,1.7274098229092094
421,Guam,2016,Group C: Emerging / High-growth,GDP per Capita,33519.45102,0.8996454259405996,0.8991637055735996,0.00048172036700000476,0.00048172036700000476,7.51143047008027
422,Guam,2016,Group C: Emerging / High-growth,Imports (% of GDP),51.44890696,0.07914966177530307,0.08233555227528001,-0.0031858904999769455,0.0,0.0
423,Guam,2016,Group C: Emerging / High-growth,Population Growth (%),-0.408339927,0.005514645924592136,0.004394787719048421,0.0011198582055437145,0.0011198582055437145,17.461867140216615
424,Guam,2016,Group C: Emerging / High-growth,Unemployment (%),5.4,0.0136832882110926,0.008982484248816244,0.004700803962276356,0.004700803962276356,73.29929256679391
425,Guam,2017,Group C: Emerging / High-growth,Exports (% of GDP),18.97555297,0.001576676453478359,0.0026083495699539805,-0.0010316731164756216,0.0,0.0
426,Guam,2017,Group C: Emerging / High-growth,GDP Growth (%),0.890099909,0.025400668380323285,0.02311254593043574,0.002288122449887544,0.002288122449887544,40.87309529603995
427,Guam,2017,Group C: Emerging / High-growth,GDP per Capita,33971.49673,0.8962842189684221,0.8958062367846297,0.00047798218379246915,0.00047798218379246915,8.538271782141313
428,Guam,2017,Group C: Emerging / High-growth,Imports (% of GDP),50.29103609,0.037317152360226695,0.039315180465277606,-0.0019980281050509113,0.0,0.0
429,Guam,2017,Group C: Emerging / High-growth,Population Growth (%),-0.453432486,0.014914968122288215,0.01208295880517764,0.0028320093171105756,0.0028320093171105756,50.58863292181874
430,Guam,2018,Group C: Emerging / High-growth,Exports (% of GDP),19.25301603,0.002716710698111923,0.004082320627826677,-0.0013656099297147542,0.0,0.0
431,Guam,2018,Group C: Emerging / High-growth,GDP Growth (%),-0.828231905,0.10167342287248653,0.0973237716223494,0.004349651250137129,0.004349651250137129,59.36927074589128
432,Guam,2018,Group C: Emerging / High-growth,GDP per Capita,33858.08863,0.8929467115873737,0.8924538669160254,0.0004928446713483581,0.0004928446713483581,6.726936723496628
433,Guam,2018,Group C: Emerging / High-growth,Imports (% of GDP),53.71013056,0.03495181115513965,0.03666567292587604,-0.0017138617707363885,0.0,0.0
434,Guam,2018,Group C: Emerging / High-growth,Population Growth (%),-0.49728924,0.01145318704161831,0.008969247594284394,0.0024839394473339157,0.0024839394473339157,33.9037925306121
435,Guam,2019,Group C: Emerging / High-growth,Exports (% of GDP),22.2501967,0.0024674328860656634,0.0037266494183788696,-0.0012592165323132062,0.0,0.0
436,Guam,2019,Group C: Emerging / High-growth,GDP Growth (%),2.523602033,0.010004804290932699,0.009502752214453219,0.0005020520764794801,0.0005020520764794801,13.642789056473948
437,Guam,2019,Group C: Emerging / High-growth,GDP per Capita,34899.38693,0.8881072596650513,0.8875953838442833,0.0005118758207680596,0.0005118758207680596,13.909739991153147
438,Guam,2019,Group C: Emerging / High-growth,Imports (% of GDP),55.81431943,0.04579636376164851,0.047395896626405976,-0.0015995328647574678,0.0,0.0
439,Guam,2019,Group C: Emerging / High-growth,Population Growth (%),-0.536848682,0.013268131435377476,0.010602078102971391,0.002666053332406085,0.002666053332406085,72.44747095237291
440,Guam,2020,Group C: Emerging / High-growth,Exports (% of GDP),6.406355646,0.000851509296229778,0.0002596184333318161,0.0005918908628979619,0.0005918908628979619,17.201656771329183
441,Guam,2020,Group C: Emerging / High-growth,GDP Growth (%),-10.51885957,0.01929389973529624,0.017910268575480722,0.0013836311598155182,0.0013836311598155182,40.211379835687296
442,Guam,2020,Group C: Emerging / High-growth,GDP per Capita,31160.96646,0.8831964678300396,0.882672704389326,0.0005237634407135872,0.0005237634407135872,15.221723296104916
443,Guam,2020,Group C: Emerging / High-growth,Imports (% of GDP),57.26842461,0.046154448626462626,0.04678801415330587,-0.0006335655268432452,0.0,0.0
444,Guam,2020,Group C: Emerging / High-growth,Population Growth (%),0.216072141,0.01264092795125929,0.011699318908033402,0.0009416090432258876,0.0009416090432258876,27.36524009687861
445,Guam,2021,Group C: Emerging / High-growth,Exports (% of GDP),3.095925569,0.0036469870675865925,0.002198110804811828,0.0014488762627747646,0.0014488762627747646,72.71956706883252
446,Guam,2021,Group C: Emerging / High-growth,GDP Growth (%),2.058183257,0.0038247067747049323,0.0037976999836363654,2.700679106856698e-05,2.700679106856698e-05,1.3554795567314126
447,Guam,2021,Group C: Emerging / High-growth,GDP per Capita,31496.97673,0.8843165841218015,0.8838000512122723,0.0005165329095291327,0.0005165329095291327,25.924953374436072
448,Guam,2021,Group C: Emerging / High-growth,Imports (% of GDP),58.74238049,0.024024086183693644,0.02468225055881459,-0.0006581643751209475,0.0,0.0
449,Guam,2021,Group C: Emerging / High-growth,Population Growth (%),0.964756108,0.028734158760180994,0.03162533007167996,-0.002891171311498967,0.0,0.0
450,Guam,2022,Group C: Emerging / High-growth,Exports (% of GDP),7.887120116,0.0034636090079399866,0.0020348588460831346,0.001428750161856852,0.001428750161856852,71.93129202388711
451,Guam,2022,Group C: Emerging / High-growth,GDP Growth (%),5.099864262,0.02004309266253123,0.021806397094446876,-0.0017633044319156459,0.0,0.0
452,Guam,2022,Group C: Emerging / High-growth,GDP per Capita,32812.68919,0.8731650746236863,0.8726075541074322,0.0005575205162541286,0.0005575205162541286,28.0687079761129
453,Guam,2022,Group C: Emerging / High-growth,Imports (% of GDP),63.97973951,0.030152595350304155,0.030925915268840167,-0.0007733199185360126,0.0,0.0
454,Guam,2022,Group C: Emerging / High-growth,Population Growth (%),0.881705873,0.01024603125434257,0.011432703203206343,-0.0011866719488637725,0.0,0.0
455,Guam,2023,Group B: Transitional / Mixed,Population Growth (%),0.799555642,0.053597451207192746,0.06159551383312584,-0.00799806262593309,0.0,
456,Guam,2024,Group B: Transitional / Mixed,Population Growth (%),0.760437189,0.010593367028464496,0.011162528544580348,-0.0005691615161158518,0.0,
457,"Hong Kong SAR, China",2015,Group C: Emerging / High-growth,Exports (% of GDP),195.8976016,0.023709997275814215,0.01742862453609123,0.006281372739722985,0.006281372739722985,71.20286985670862
458,"Hong Kong SAR, China",2015,Group C: Emerging / High-growth,GDP Growth (%),2.387783395,0.014316810857366415,0.013658843040693477,0.0006579678166729382,0.0006579678166729382,7.458432855639138
459,"Hong Kong SAR, China",2015,Group C: Emerging / High-growth,GDP per Capita,374870.0506,0.9719605441571625,0.9718551418768443,0.00010540228031818977,0.00010540228031818977,1.194793743194957
460,"Hong Kong SAR, China",2015,Group C: Emerging / High-growth,Imports (% of GDP),193.5083476,0.07552340407723149,0.07380837394342728,0.00171503013380421,0.00171503013380421,19.440824876598576
461,"Hong Kong SAR, China",2015,Group C: Emerging / High-growth,Inflation (%),2.990848193,0.018597764686277284,0.021969430012192117,-0.0033716653259148327,0.0,0.0
462,"Hong Kong SAR, China",2015,Group C: Emerging / High-growth,Population Growth (%),0.851197911,0.0012695021236637867,0.0012074779498200082,6.20241738437785e-05,6.20241738437785e-05,0.7030786678587068
463,"Hong Kong SAR, China",2015,Group C: Emerging / High-growth,Unemployment (%),3.314,0.03866396973267511,0.042573534072527376,-0.003909564339852269,0.0,0.0
464,"Hong Kong SAR, China",2016,Group C: Emerging / High-growth,Exports (% of GDP),187.0051289,0.019730678329864648,0.011150164126352792,0.008580514203511856,0.008580514203511856,91.7309003884411
465,"Hong Kong SAR, China",2016,Group C: Emerging / High-growth,GDP Growth (%),2.175436928,0.008235972094941237,0.008100927309457079,0.00013504478548415771,0.00013504478548415771,1.4437106531629031
466,"Hong Kong SAR, China",2016,Group C: Emerging / High-growth,GDP per Capita,380660.115,0.8996454259405996,0.8992425691018022,0.0004028568387973719,0.0004028568387973719,4.306783914581621
